                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                      1,                  2.588,                 4.2381,                 2.4627,                0.24175,                0.26984,                0.23439,                 0.1143,                 2.4062,                 4.3799,                 2.5437,              5.555e-05,              5.555e-05,              5.555e-05
                      2,                 2.3067,                 3.9702,                 2.2536,                0.01714,                0.36508,                0.05245,                0.01748,                 2.3865,                  4.497,                 2.4905,             0.00011818,             0.00011818,             0.00011818
                      3,                 2.4348,                 3.5306,                 2.3956,                0.19819,                0.31746,                0.16197,                0.06975,                 2.5155,                 4.8589,                 2.6535,              0.0001764,              0.0001764,              0.0001764
                      4,                 2.0449,                 3.6917,                 2.1254,                0.03201,                0.65079,                0.13126,                0.04696,                 2.4029,                 3.9892,                 2.6238,             0.00023023,             0.00023023,             0.00023023
                      5,                 1.9397,                 2.8949,                 2.0073,                0.03168,                0.65079,                0.09506,                0.02754,                  2.429,                 3.6971,                 2.6425,             0.00027966,             0.00027966,             0.00027966
                      6,                 1.7339,                 2.6343,                 1.8486,                0.26385,                0.22222,                0.29392,                0.09695,                 2.4171,                 3.6656,                 2.6714,             0.00032469,             0.00032469,             0.00032469
                      7,                 1.7338,                 2.5597,                  1.796,                0.44908,                0.31191,                0.34311,                0.11649,                  2.419,                 4.1148,                  2.636,             0.00036532,             0.00036532,             0.00036532
                      8,                 1.8096,                 2.9734,                 1.9006,                0.44908,                0.31191,                0.34311,                0.11649,                  2.419,                 4.1148,                  2.636,             0.00040155,             0.00040155,             0.00040155
                      9,                 1.5453,                 2.5733,                 1.6891,                0.81251,                0.22222,                0.34356,                0.12968,                 2.3341,                 4.1327,                 2.4523,             0.00043338,             0.00043338,             0.00043338
                     10,                 1.6026,                 2.8496,                 1.8341,                0.39709,                 0.4016,                0.45754,                0.19918,                 2.2026,                 3.5188,                 2.2388,             0.00046081,             0.00046081,             0.00046081
                     11,                 1.5514,                 2.6226,                 1.6863,                0.39709,                 0.4016,                0.45754,                0.19918,                 2.2026,                 3.5188,                 2.2388,             0.00048384,             0.00048384,             0.00048384
                     12,                 1.8606,                 2.8777,                 2.0049,                0.44869,                0.32658,                0.41564,                0.21324,                 1.9902,                 3.5077,                 1.9454,             0.00050247,             0.00050247,             0.00050247
                     13,                 1.5824,                 2.3195,                 1.5941,                0.44869,                0.32658,                0.41564,                0.21324,                 1.9902,                 3.5077,                 1.9454,              0.0005167,              0.0005167,              0.0005167
                     14,                 1.5927,                 2.5451,                 1.6721,                0.44869,                0.32658,                0.41564,                0.21324,                 1.9902,                 3.5077,                 1.9454,             0.00052654,             0.00052654,             0.00052654
                     15,                 1.5176,                 2.2889,                 1.5782,                0.43116,                0.46737,                 0.4196,                0.23834,                 1.9396,                 3.6835,                 1.9197,             0.00053197,             0.00053197,             0.00053197
                     16,                 1.6719,                 2.6534,                 1.7185,                0.43116,                0.46737,                 0.4196,                0.23834,                 1.9396,                 3.6835,                 1.9197,               0.000533,               0.000533,               0.000533
                     17,                 1.5845,                 2.3694,                 1.6019,                0.62954,                0.52086,                0.51489,                0.26904,                 1.8229,                 2.7812,                 1.8341,             0.00052439,             0.00052439,             0.00052439
                     18,                 1.6501,                 2.4097,                 1.7126,                0.62954,                0.52086,                0.51489,                0.26904,                 1.8229,                 2.7812,                 1.8341,             0.00052439,             0.00052439,             0.00052439
                     19,                 1.6272,                 2.1827,                 1.5639,                0.62954,                0.52086,                0.51489,                0.26904,                 1.8229,                 2.7812,                 1.8341,             0.00048773,             0.00048773,             0.00048773
